,,,Turnout Rate,,,Vote in Party Contest,,,
Date,State/Territory,Election Type,VEP Total Ballots Counted,Voting-Eligible Population (VEP),Voting-Age Population (VAP),Democrat,Republican,Minor,Total Ballots Cast
Jan. 3,Iowa,Caucus,6.5%,"2,250,423","2,347,573","25,000","121,354",,"146,354"
Jan. 10,New Hampshire,Primary,31.1%,"1,001,914","1,034,045","61,777","249,534",,"311,311"
Jan. 21,South Carolina (a),Primary - R,17.6%,"3,434,551","3,621,841",,"603,770",,"605,623"
,Nevada,Caucus - D,,"1,770,920","2,064,446",,,,
Jan. 31,Florida,Primary,12.8%,"13,088,171","15,094,059",,"1,676,176",,"1,676,176"
Feb. 4,Nevada,Caucus - R,1.9%,"1,772,116","2,065,822",,"32,894",,"32,894"
Feb. 4-11,Maine,Caucus - R,0.6%,"1,036,235","1,053,285",,"5,814",,"5,814"
Feb. 7,Colorado,Caucus - R,1.8%,"3,603,764","3,926,310",,"66,027",,"66,027"
,Minnesota,Caucus - R,1.3%,"3,837,237","4,075,214",,"48,916",,"48,916"
,Missouri (b),Primary,7.4%,"4,415,112","4,629,154","72,888","252,185","1,365","326,438"
Feb. 28,Arizona,Primary,11.9%,"4,298,024","4,895,942",,"511,239",573,"511,812"
,Michigan,Primary,16.5%,"7,241,314","7,547,125","194,887","996,499",,"1,191,386"
Mar. 3,Washington,Caucus - R,1.1%,"4,804,839","5,274,878",,"50,764",,"50,764"
Mar. 6,Alaska,Caucus - R,2.8%,"507,496","545,692",,"14,135",,"14,135"
,Georgia,Primary,15.8%,"6,570,595","7,376,260","139,273","901,470",,"1,038,824"
,Idaho,Caucus - R,4.1%,"1,091,171","1,165,366",,"44,672",,"44,672"
,Massachusetts,Primary,11.2%,"4,720,547","5,207,006","157,563","370,425","1,554","529,542"
,Minnesota,Caucus - D,0.5%,"3,839,640","4,077,730","17,376",,,
,North Dakota,Caucus,2.2%,"524,296","534,626",,"11,349",,"11,349"
,Ohio,Primary,20.4%,"8,593,587","8,854,904","542,086","1,213,879",,"1,755,965"
,Oklahoma,Primary,14.7%,"2,723,104","2,895,300","112,771","286,523",,"399,294"
,Tennessee,Primary,13.4%,"4,682,042","4,939,973","79,577","547,561",,"627,228"
,Vermont,Primary,21.1%,"489,108","498,432","40,992","60,850",,"103,264"
,Virginia,Primary - R,4.6%,"5,763,308","6,316,136",,"265,570",,"265,570"
Mar. 6-10,Wyoming,Caucus - R,0.3%,"420,205","433,545",,"1,308",,"1,308"
Mar.7,Hawaii,Caucus - D,,"978,968","1,084,589",,,,
Mar. 10,Kansas,Caucus - R,1.5%,"2,041,139","2,170,270",,"29,857",,"29,857"
Mar. 11,Maine,Caucus - D,,"4,443,776","4,516,897",,,,
