State Unemployment Rates 2012 ,,,,,,,,,,,,
 ,,,,,,,,,,,,
State ,Jan ,Feb ,Mar ,Apr ,May ,June ,July ,Aug ,Sept ,Oct ,Nov ,Dec 
Alabama ,7.8,7.6,7.3,7.2,7.4,7.8,8.3,8.5,8.3,8.1,7.5,7.1
Alaska ,7.2,7.1,7,6.9,7,7.3,7.7,7.8,7.5,7.1,6.8,6.6
Arizona ,8.7,8.7,8.6,8.2,8.2,8.2,8.3,8.3,8.2,8.1,7.8,7.9
Arkansas ,7.6,7.6,7.4,7.2,7.3,7.2,7.3,7.3,7.1,7.2,7,7.1
California ,10.9,10.9,11,10.9,10.8,10.7,10.7,10.6,10.2,10.1,9.8,9.8
Colorado ,7.8,7.8,7.8,7.9,8.1,8.2,8.3,8.2,8,7.9,7.7,7.6
Connecticut ,8,7.8,7.7,7.7,7.8,8.1,8.5,9,8.9,9,8.8,8.6
Delaware ,7,7,6.9,6.8,6.8,6.7,6.8,6.9,6.8,6.8,6.7,6.9
D.C. ,9.9,9.9,9.8,9.5,9.3,9.1,8.9,8.8,8.7,8.5,8.4,8.5
Florida ,9.6,9.4,9,8.7,8.6,8.6,8.8,8.8,8.7,8.5,8.1,8
Georgia ,9.2,9.1,9,8.9,8.9,9,9.3,9.2,9,8.7,8.5,8.6
Hawaii ,6.5,6.4,6.4,6.3,6.3,6.4,6.4,6.1,5.7,5.5,5.3,5.2
Idaho ,8.1,8,7.9,7.7,7.8,7.7,7.5,7.4,7.1,7,6.8,6.6
Illinois ,9.4,9.1,8.8,8.7,8.6,8.7,8.9,9.1,8.8,8.8,8.7,8.7
Indiana ,8.7,8.4,8.2,7.9,7.9,8,8.2,8.3,8.2,8,8,8.2
Iowa ,5.4,5.3,5.2,5.1,5.1,5.2,5.3,5.5,5.2,5.1,4.9,4.9
Kansas ,6.1,6.1,6.2,6.1,6.1,6.1,6.3,6.2,5.9,5.7,5.4,5.4
Kentucky ,8.8,8.7,8.6,8.3,8.2,8.2,8.3,8.5,8.4,8.4,8.2,8.1
Louisiana ,6.9,7,7.1,7.1,7.2,7.5,7.6,7.4,7,6.6,5.8,5.5
Maine ,7,7.1,7.2,7.2,7.4,7.5,7.6,7.6,7.6,7.4,7.2,7.3
Maryland ,6.5,6.5,6.6,6.7,6.8,6.9,7,7.1,6.9,6.7,6.6,6.6
Massachusetts ,6.9,6.9,6.5,6.3,6,6,6.1,6.3,6.5,6.6,6.6,6.7
Michigan ,9,8.8,8.5,8.3,8.5,8.6,9,9.4,9.3,9.1,8.9,8.9
Minnesota ,5.6,5.7,5.8,5.6,5.6,5.6,5.8,5.9,5.8,5.8,5.7,5.5
Mississippi ,9.9,9.5,9,8.7,8.7,8.8,9.1,9.1,9.2,8.9,8.5,8.6
Missouri ,7.5,7.4,7.4,7.3,7.3,7.1,7.2,7.2,6.9,6.9,6.7,6.7
Montana ,6.5,6.2,6.2,6.1,6.3,6.3,6.4,6.3,6.1,6,5.8,5.7
Nebraska ,4,4,4,3.9,3.9,3.8,4,4,3.9,3.8,3.7,3.7
Nevada ,12.7,12.3,12,11.7,11.6,11.6,12,12.1,11.8,11.5,10.8,10.2
New Hampshire ,5.2,5.2,5.2,5,5,5.1,5.4,5.7,5.7,5.7,5.6,5.7
New Jersey ,9,9,9,9.1,9.2,9.6,9.8,9.9,9.8,9.7,9.6,9.6
New Mexico ,7,7.2,7.2,6.9,6.7,6.5,6.6,6.5,6.4,6.3,6.2,6.4
New York ,8.3,8.5,8.5,8.5,8.6,8.9,9.1,9.1,8.9,8.7,8.3,8.2
North Carolina ,10.2,9.9,9.7,9.4,9.4,9.4,9.6,9.7,9.6,9.3,9.1,9.2
North Dakota ,3.2,3.1,3,3,3,2.9,3,3,3,3.1,3.1,3.2
Ohio ,7.7,7.6,7.5,7.4,7.3,7.2,7.2,7.2,7,6.9,6.8,6.7
Oklahoma ,6.1,6,5.4,5,4.8,4.7,4.9,5.1,5.2,5.3,5.2,5.1
Oregon ,8.8,8.8,8.6,8.5,8.4,8.5,8.7,8.9,8.7,8.6,8.4,8.4
Pennsylvania ,7.6,7.6,7.5,7.4,7.4,7.5,7.9,8.1,8.2,8.1,7.8,7.9
Puerto Rico ,15.1,15,15,14.8,14.2,13.8,13.7,13.5,13.6,13.8,13.8,14
Rhode Island ,10.9,11,11.1,11.2,11,10.9,10.8,10.7,10.5,10.4,10.4,10.2
South Carolina ,9.3,9.1,8.9,8.8,9.1,9.4,9.6,9.6,9.1,8.6,8.3,8.4
South Dakota ,4.2,4.3,4.3,4.3,4.3,4.3,4.4,4.5,4.4,4.5,4.4,4.4
Tennessee ,8.2,8,7.9,7.8,7.9,8.1,8.4,8.5,8.3,8.2,7.6,7.6
Texas ,7.3,7.1,7,6.9,6.9,7,7.2,7.1,6.8,6.6,6.2,6.1
Utah ,5.7,5.7,5.8,6,6,6,6,5.8,5.4,5.2,5.1,5.2
Vermont ,5,4.9,4.8,4.6,4.6,4.7,5,5.3,5.4,5.5,5.2,5.1
Virginia ,5.8,5.7,5.6,5.6,5.6,5.7,5.9,5.9,5.9,5.7,5.6,5.5
Washington ,8.3,8.2,8.3,8.1,8.3,8.3,8.5,8.6,8.5,8.2,7.8,7.6
West Virginia ,7.4,7.2,6.9,6.7,6.9,7,7.4,7.5,7.6,7.5,7.3,7.5
Wisconsin ,6.9,6.9,6.8,6.7,6.8,7,7.3,7.5,7.3,6.9,6.7,6.6
Wyoming ,5.5,5.4,5.3,5.3,5.2,5.4,5.6,5.7,5.4,5.2,5.1,4.9
 ,,,,,,,,,,,,
Source: Bureau of Labor Statistics ,,,,,,,,,,,,
